# DADS Drug Interaction Database · National Expert Verified
# Format: drug_a | drug_b | severity | mechanism | recommendation | source | last_verified
# Severity: CONTRAINDICATED > HIGH > MODERATE > MONITOR
# Source: FDA labeling, CYP450 tables, published clinical evidence
# Modified by: authorized clinical pharmacists only
# Version: 1.1 · Last updated: 2026-05-12
# Database: SQLite | Table: interactions | Primary Key: drug_a,drug_b

warfarin | aspirin | HIGH | Additive anticoagulant + antiplatelet. GI and intracranial bleeding risk. | Monitor INR. Add PPI for GI protection. | FDA Warfarin Label §7.2 | 2026-05-12
warfarin | fluconazole | HIGH | CYP2C9 inhibition. Warfarin clearance reduced 30-50%. | Reduce warfarin dose 30-50% empirically. Monitor INR q2-3d. | CYP450 Drug Interaction Table · Flockhart | 2026-05
warfarin | metronidazole | HIGH | CYP2C9 inhibition. INR elevation reported. | Monitor INR closely. Consider alternative antibiotic. | CYP450 Drug Interaction Table | 2026-05
warfarin | amiodarone | HIGH | CYP2C9 + CYP3A4 dual inhibition. Delayed onset (weeks). | Reduce warfarin 30-50%. Intensive INR monitoring for 4-6 weeks. | FDA Amiodarone Label | 2026-05
warfarin | rivaroxaban | CONTRAINDICATED | Dual anticoagulation. Catastrophic bleeding risk. No additive benefit. | Do not combine. Select single anticoagulant. | ACCP 2012 §3.4 | 2026-05
aspirin | ibuprofen | MODERATE | Ibuprofen competes with ASA at COX-1 binding site. Reduces ASA antiplatelet effect. | Give ASA first. Wait 2h before ibuprofen. Or use non-NSAID analgesic. | FDA Ibuprofen Label §5.7 | 2026-05
aspirin | clopidogrel | MONITOR | Dual antiplatelet therapy. Standard post-PCI for 6-12mo. | Used intentionally per protocol. Add PPI if GI risk factors. | ACC/AHA 2021 CAD §6.2 | 2026-05
lisinopril | spironolactone | HIGH | Dual RAAS blockade. Hyperkalemia risk (K+ >5.5). | Check K+ before starting. Avoid if baseline K+ >5.0. Monitor K+ at day 3, 7, 14. | ESC 2021 Heart Failure §9.3 | 2026-05
lisinopril | aspirin | MODERATE | NSAID attenuation of ACEi antihypertensive effect via prostaglandin inhibition. | Monitor BP. Consider alternative analgesic if BP uncontrolled. | JNC 8 §5.2 | 2026-05
lisinopril | furosemide | MONITOR | Synergistic BP effect. First-dose hypotension risk in volume-depleted patients. | Start low dose. Hold diuretic on ACEi initiation day. | ESC 2021 Heart Failure | 2026-05
metformin | iodinated contrast | HIGH | Lactic acidosis. Contrast-induced nephropathy + metformin accumulation. | Hold metformin 48h pre and post IV contrast. Check eGFR before restarting. | ACR Contrast Manual v10.3 | 2026-05
digoxin | amiodarone | HIGH | Amiodarone reduces digoxin renal clearance. Serum digoxin levels can double. | Reduce digoxin dose 50% when starting amiodarone. Check digoxin level + ECG. | FDA Digoxin Label | 2026-05
digoxin | furosemide | MONITOR | Loop diuretic-induced hypokalemia sensitizes myocardium to digoxin toxicity. | Maintain serum K+ >4.0 mmol/L. Check digoxin and K+ levels. | ESC 2021 Heart Failure | 2026-05
atorvastatin | fluconazole | MODERATE | CYP3A4 inhibition increases statin exposure. Myopathy/rhabdomyolysis risk. | Consider temporary statin hold during short-course fluconazole. Check CK if muscle symptoms. | FDA Atorvastatin Label | 2026-05
atorvastatin | clarithromycin | HIGH | Strong CYP3A4 inhibition. Atorvastatin AUC increases 4-8x. | Hold statin during macrolide course. Or switch to rosuvastatin (non-CYP3A4). | FDA Atorvastatin Label §7.1 | 2026-05
simvastatin | amiodarone | HIGH | CYP3A4 inhibition. Simvastatin AUC increases 1.8x. Rhabdomyolysis reported. | Limit simvastatin to 20mg/day max with amiodarone. Prefer atorvastatin or rosuvastatin. | FDA Simvastatin Label §7.1 | 2026-05
sertraline | aspirin | MODERATE | SSRI inhibition of platelet serotonin reuptake. Additive bleeding risk with antiplatelet. | Add PPI for GI protection. Monitor for bleeding signs. | JAMA 2011 · SSRIs and Bleeding Risk | 2026-05
prednisone | warfarin | MONITOR | Corticosteroids may increase or decrease warfarin response. Mechanism unclear. | Increase INR monitoring frequency during steroid initiation and taper. | FDA Warfarin Label | 2026-05
methotrexate | ibuprofen | HIGH | NSAID reduces renal MTX clearance. Pancytopenia, hepatotoxicity reported with high-dose MTX. | Avoid NSAIDs during MTX therapy. Acetaminophen is safe alternative. | ACR MTX Guidelines | 2026-05
allopurinol | warfarin | MONITOR | Allopurinol may inhibit warfarin metabolism via CYP450. Case reports of INR elevation. | Monitor INR when initiating or discontinuing allopurinol. | FDA Allopurinol Label | 2026-05
amlodipine | clarithromycin | HIGH | CYP3A4 inhibition. Amlodipine AUC increases 1.6x. Hypotension, edema risk. | Monitor BP closely. Consider dose reduction of amlodipine. | FDA Amlodipine Label | 2026-05
warfarin | naproxen | HIGH | Additive GI bleeding risk. NSAID gastric mucosal injury + warfarin anticoagulation. | Avoid if possible. Use acetaminophen. If unavoidable, add PPI + monitor INR weekly. | FDA Warfarin Label | 2026-05
warfarin | acetaminophen | MONITOR | High-dose (>2g/day) acetaminophen may elevate INR via inhibition of vitamin K cycle. | Safe at dose ≤2g/day. Monitor INR if >2g/day taken regularly. | FDA Warfarin Label | 2026-05
warfarin | levothyroxine | MONITOR | Thyroid hormone increases catabolism of vitamin K-dependent clotting factors. INR may spike. | Monitor INR q1-2 weeks during levothyroxine initiation and dose changes. | FDA Warfarin Label | 2026-05
warfarin | phenytoin | HIGH | Phenytoin induces CYP2C9 (reduces warfarin). But acute competition may transiently raise INR. | Monitor INR twice weekly for 4 weeks. Adjust warfarin dose based on INR trend. | CYP450 Drug Interaction Table | 2026-05
warfarin | carbamazepine | HIGH | Potent CYP3A4 + CYP2C9 inducer. Warfarin dose requirement may increase 2-5x. | Expect large warfarin dose increase. Monitor INR twice weekly during initiation and withdrawal. | CYP450 Drug Interaction Table | 2026-05
warfarin | rifampin | HIGH | Potent CYP2C9 inducer. Warfarin dose may need to double or triple. | Monitor INR q2-3 days. Expect significant dose increase during rifampin and decrease after. | FDA Warfarin Label | 2026-05
warfarin | ciprofloxacin | HIGH | Broad-spectrum antibiotic reduces vitamin K-producing gut flora. CYP1A2 inhibition. | Monitor INR closely. Higher risk in malnourished patients. | FDA Warfarin Label | 2026-05
warfarin | azithromycin | MODERATE | Macrolide antibiotic. Vitamin K gut flora reduction. Modest INR elevation reported. | Monitor INR during antibiotic course. | FDA Warfarin Label | 2026-05
warfarin | enoxaparin | HIGH | Bridge therapy: therapeutic anticoagulation overlap. Bleeding risk is intentional but must be managed. | Bridge per protocol. Stop enoxaparin when INR >2.0. Do NOT use as chronic combination. | ACCP 2012 §3.4 | 2026-05
clopidogrel | omeprazole | MODERATE | Omeprazole CYP2C19 inhibition reduces clopidogrel bioactivation. Reduced antiplatelet effect. | Prefer pantoprazole (less CYP2C19 inhibition). If clopidogrel+PPI needed, use pantoprazole. | FDA Clopidogrel Label §7.1 | 2026-05
clopidogrel | pantoprazole | MONITOR | Pantoprazole has minimal CYP2C19 inhibition. Preferred PPI with clopidogrel. | Preferred PPI choice for patients on clopidogrel. | FDA Clopidogrel Label | 2026-05
apixaban | aspirin | HIGH | Dual anticoagulant-antiplatelet. GI and intracranial bleeding risk. | Only combine if clear indication (e.g. CAD + AF with CHA2DS2-VASc ≥2). Avoid routine dual use. | AHA/ACC AF Guidelines | 2026-05
apixaban | clarithromycin | HIGH | P-gp + CYP3A4 strong inhibitor. Apixaban AUC increases 2x. | Reduce apixaban to 2.5mg BID (if standard 5mg BID dose). Or use alternative antibiotic. | FDA Apixaban Label §7.1 | 2026-05
rivaroxaban | clarithromycin | CONTRAINDICATED | Combined P-gp + CYP3A4 strong inhibitor. Rivaroxaban AUC increases 2.5x. Bleeding risk. | Contraindicated per FDA labeling. Use alternative antibiotic (azithromycin or beta-lactam). | FDA Rivaroxaban Label §4 | 2026-05
rivaroxaban | fluconazole | HIGH | CYP3A4 moderate + P-gp inhibition. Rivaroxaban AUC increases 1.4-1.7x. | Monitor for bleeding. Consider dose reduction if CrCl 15-50. | FDA Rivaroxaban Label | 2026-05
dabigatran | amiodarone | HIGH | P-gp inhibition. Dabigatran AUC increases 1.6x in normal renal function. | Reduce dabigatran to 75mg BID if CrCl 30-50. Avoid if CrCl <30. | FDA Dabigatran Label §7.1 | 2026-05
dabigatran | verapamil | HIGH | P-gp inhibition. Dabigatran exposure increases 1.5x. | Take dabigatran 2h before verapamil. Reduce dose if CrCl impaired. | FDA Dabigatran Label | 2026-05
